credit_model,instrument,initial_price,fair_price,fair_to_par,mean_ann_return,median_ann_return,prob_negative_return,risk_mean,risk_std,risk_skew,risk_sharpe,risk_sortino,risk_omega,risk_var_95,risk_var_99,risk_es_95,risk_es_99,risk_max_drawdown,risk_calmar,risk_mean_total_return,risk_prob_capital_loss,risk_pv_floored_paths,fair_price_lo,fair_price_hi,fair_price_ci_width,insurance,premium_weight,scenario,n_paths
cox_intensity,mezzanine,11025000.0,2885708.303950744,0.2617422497914507,-0.1354290749762458,-0.12647111061920613,1.0,-0.1354290749762458,0.04772554707862606,-1.1438599335088548,-3.619404366480796,-0.9638878433149177,0.0,0.23307208394395285,0.289601046291066,0.26876626444809887,0.30318659326645536,0.0,,-0.7382577502085492,1.0,0.0,2874405.233097973,2897453.142198676,23047.909100702964,none,,paris_intermediate,50000
cox_intensity,senior,12600000.0,11294468.10191305,0.8963863572946865,-0.01091882190883749,-0.010588183984747757,1.0,-0.01091882190883749,0.0029860339820016583,-1.6010500385303674,-16.151122429399354,-0.9980887853531722,0.0,0.015712736726264446,0.020797371795611894,0.018737565845508213,0.02526180312039491,0.0,,-0.10361364270531362,1.0,0.0,11291469.613433605,11297171.505264526,5701.891830921173,none,,paris_intermediate,50000
gaussian_copula,model_a,450000.0,409240.0193171222,0.9094222651491604,-0.01053413250972465,-0.0101912851742334,0.7495,-0.01053413250972465,0.015489970116360866,-0.11294223563980707,-3.0886509569188774,-0.9513848605479048,0.1740650532893598,0.036383589510692774,0.04833134237465257,0.04361501314978197,0.05405175114952929,31862.16952871912,-3.306156694769218e-07,-0.09057773485083966,0.7495,0.0,408668.9189777143,409780.87663116556,1111.9576534512453,actuarial,0.0,paris_intermediate,50000
gaussian_copula,model_b,450000.0,407102.35701119906,0.9046719044693312,-0.010984674400855638,-0.010797643238664723,0.76802,-0.010984674400855638,0.0149719854216892,-0.050451228150198674,-3.22560111791941,-0.9551573089140644,0.15332308182121707,0.03584437288679051,0.04647333473497368,0.042307889049198466,0.051771091800003256,22422.702335130944,-4.898907471846207e-07,-0.09532809553066883,0.76802,0.0,406555.1204333897,407633.1572849379,1078.0368515482405,actuarial,0.0,paris_intermediate,50000
gaussian_copula,equity,7875000.0,8220470.889165254,1.04386931925908,-0.013646195372490962,0.0011825189325563867,0.48984,-0.013646195372490962,0.0969954143708309,-6.454844120657107,-0.5253359059893115,-0.4676197776657139,0.5574522968843176,0.11654309976457085,0.27100227445587227,0.28138428428178597,0.7695169786728357,6194559.94262185,-2.2029321693374725e-09,0.04386931925907995,0.48984,362.0,8185558.40258294,8257134.859616271,71576.4570333315,actuarial,0.8376853520224834,paris_intermediate,50000
gaussian_copula,mezzanine,11025000.0,8450315.93525815,0.7664685655562948,-0.02660869206387697,-0.025708650018551327,0.99998,-0.02660869206387697,0.008891099345308144,-0.23432519396592297,-7.18895021799803,-0.990463628099051,1.062043470111551e-06,0.04246531564621952,0.04588672446387494,0.04454341002175364,0.046827187759297006,0.0,,-0.2335314344437053,0.99998,0.0,8443163.828193063,8457137.838216215,13974.010023152456,actuarial,0.16175548829199218,paris_intermediate,50000
gaussian_copula,senior,12600000.0,11826378.166360533,0.9386014417746454,-0.006328684002000864,-0.0058663612292649825,1.0,-0.006328684002000864,0.0016674905299506975,-5.591746429104183,-26.169661374993986,-0.9992707275095303,0.0,0.00893510448368816,0.01473245246059108,0.012461140373688197,0.01818363397908317,0.0,,-0.0613985582253548,1.0,0.0,11824722.542520119,11828079.625012472,3357.0824923533946,actuarial,0.0005591596855244146,paris_intermediate,50000
student_t_copula,model_a,450000.0,410150.52643520327,0.9114456143004517,-0.010318805897742044,-0.009939179398949616,0.74506,-0.010318805897742044,0.015528788205677218,-0.12103647138911278,-3.067063815909848,-0.9507493758177347,0.1809718328643368,0.036276634406026846,0.0478170956439986,0.04339323930441669,0.054204948558113114,30757.777089314553,-3.354860745553313e-07,-0.08855438569954835,0.74506,0.0,409568.9344705557,410679.6819696375,1110.74749908183,actuarial,0.0,paris_intermediate,50000
student_t_copula,model_b,450000.0,407116.73033134284,0.9047038451807619,-0.01102474472341956,-0.01074915394448045,0.76264,-0.01102474472341956,0.015306623177544994,-0.10469506098068349,-3.1576999495972364,-0.9533429369900286,0.15687422897759815,0.036587794696962696,0.047777321267153734,0.043525074406383854,0.05398212352286379,22386.387479808698,-4.924753818972927e-07,-0.09529615481923814,0.76264,0.0,406567.8195266904,407683.69492123864,1115.8753945482313,actuarial,0.0,paris_intermediate,50000
student_t_copula,equity,7875000.0,8436899.153888384,1.0713522735096361,-0.009246587620069371,0.003880652748096014,0.46642,-0.009246587620069371,0.08927341542243127,-6.645636532538368,-0.521494175086638,-0.4656933136457573,0.6642293662499812,0.10795292663130977,0.23781816239747114,0.24932786470192686,0.6620187899072705,5936385.8283000095,-1.5576123061255434e-09,0.07135227350963612,0.46642,284.0,8402652.73212788,8473400.504682498,70747.77255461738,actuarial,0.8027952932008479,paris_intermediate,50000
student_t_copula,mezzanine,11025000.0,8301608.377378567,0.7529803516896659,-0.028499447416768766,-0.026612428008961186,1.0,-0.028499447416768766,0.010734341354406459,-0.42031784593643984,-6.13064404762687,-0.9869567169471273,0.0,0.048679800490835125,0.05174905862579388,0.05059262776815493,0.05211313919893647,0.0,,-0.24701964831033416,1.0,0.0,8294104.426685877,8309592.483180241,15488.056494363584,actuarial,0.1952634335228291,paris_intermediate,50000
